Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,ModelsCount,Mean,Error,StdDev,Ratio,RatioSD,Gen 0,Gen 1,Gen 2,Allocated
ForMethod,DefaultJob,False,Default,Default,Default,Default,Default,Default,000000000000,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 6.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,10,5.750 μs,0.0485 μs,0.0454 μs,1.00,0.00,0.6104,0.0076,-,4 KB
ForeachMethod,DefaultJob,False,Default,Default,Default,Default,Default,Default,000000000000,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 6.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,10,6.025 μs,0.1198 μs,0.1793 μs,1.05,0.04,0.6180,0.0076,-,4 KB
LinqMethod,DefaultJob,False,Default,Default,Default,Default,Default,Default,000000000000,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 6.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,10,6.080 μs,0.1197 μs,0.1932 μs,1.07,0.04,0.6180,0.0076,-,4 KB
ForMethod,DefaultJob,False,Default,Default,Default,Default,Default,Default,000000000000,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 6.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,100,59.744 μs,0.6981 μs,0.6189 μs,1.00,0.00,6.1035,0.8545,-,37 KB
ForeachMethod,DefaultJob,False,Default,Default,Default,Default,Default,Default,000000000000,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 6.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,100,60.474 μs,0.4057 μs,0.3388 μs,1.01,0.01,6.1035,0.7935,-,37 KB
LinqMethod,DefaultJob,False,Default,Default,Default,Default,Default,Default,000000000000,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 6.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,100,62.507 μs,1.2257 μs,1.7578 μs,1.05,0.03,6.1035,0.8545,-,38 KB
ForMethod,DefaultJob,False,Default,Default,Default,Default,Default,Default,000000000000,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 6.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1000,628.782 μs,12.4588 μs,11.6540 μs,1.00,0.00,60.5469,21.4844,-,375 KB
ForeachMethod,DefaultJob,False,Default,Default,Default,Default,Default,Default,000000000000,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 6.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1000,614.713 μs,8.9986 μs,8.4173 μs,0.98,0.03,60.5469,22.4609,-,375 KB
LinqMethod,DefaultJob,False,Default,Default,Default,Default,Default,Default,000000000000,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 6.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1000,680.029 μs,8.7286 μs,7.7376 μs,1.08,0.03,60.5469,22.4609,-,375 KB
ForMethod,DefaultJob,False,Default,Default,Default,Default,Default,Default,000000000000,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 6.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,10000,"8,960.548 μs",166.0377 μs,155.3118 μs,1.00,0.00,640.6250,296.8750,46.8750,"3,746 KB"
